filename,filepath,agency,form_number,document_type
m-599.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/m-599.pdf,USCIS,M-599,form
i-601achecklist_arab.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601achecklist_arab.pdf,USCIS,I-601,checklist
i-730.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-730.pdf,USCIS,I-730,form
i-612.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-612.pdf,USCIS,I-612,form
i-600asup3.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-600asup3.pdf,USCIS,I-600,supplement
i-9instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-9instr.pdf,USCIS,I-9,instructions
i-829.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-829.pdf,USCIS,I-829,form
n-400.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-400.pdf,USCIS,N-400,form
i-129finstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129finstr.pdf,USCIS,I-129,instructions
i-361.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-361.pdf,USCIS,I-361,form
i-824.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-824.pdf,USCIS,I-824,form
i-131instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-131instr.pdf,USCIS,I-131,instructions
n-644.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-644.pdf,USCIS,N-644,form
i-941instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-941instr.pdf,USCIS,I-941,instructions
g-1055.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1055.pdf,USCIS,G-1055,form
g-325a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-325a.pdf,USCIS,G-325,form
n-336instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-336instr.pdf,USCIS,N-336,instructions
i-693instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-693instr.pdf,USCIS,I-693,instructions
i-800instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800instr.pdf,USCIS,I-800,instructions
i-130instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-130instr.pdf,USCIS,I-130,instructions
i-600a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-600a.pdf,USCIS,I-600,form
i-765.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-765.pdf,USCIS,I-765,form
i-485supj.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-485supj.pdf,USCIS,I-485,supplement
i-589.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-589.pdf,USCIS,I-589,form
I-589%20Form%20with%20Watermark_TUR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_TUR.pdf,USCIS,I-589,form
i-356instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-356instr.pdf,USCIS,I-356,instructions
i-918supbinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-918supbinstr.pdf,USCIS,I-918,instructions
i-601instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601instr.pdf,USCIS,I-601,instructions
i-526instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-526instr.pdf,USCIS,I-526,instructions
i-865instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-865instr.pdf,USCIS,I-865,instructions
i-485supjinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-485supjinstr.pdf,USCIS,I-485,instructions
n-336.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-336.pdf,USCIS,N-336,form
n-426.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-426.pdf,USCIS,N-426,form
i-751.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-751.pdf,USCIS,I-751,form
i407instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i407instr.pdf,USCIS,,instructions
g-1041.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1041.pdf,USCIS,G-1041,form
I-589%20Form%20with%20Watermark_HC.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_HC.pdf,USCIS,I-589,form
i-817instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-817instr.pdf,USCIS,I-817,instructions
I-589%20Instructions_CH.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_CH.pdf,USCIS,I-589,instructions
n-470instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-470instr.pdf,USCIS,N-470,instructions
i-526.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-526.pdf,USCIS,I-526,form
i-765instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-765instr.pdf,USCIS,I-765,instructions
i-360instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-360instr.pdf,USCIS,I-360,instructions
i-129h2ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129h2ainstr.pdf,USCIS,I-129,instructions
i-539a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-539a.pdf,USCIS,I-539,form
i-192.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-192.pdf,USCIS,I-192,form
i-694instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-694instr.pdf,USCIS,I-694,instructions
i-829instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-829instr.pdf,USCIS,I-829,instructions
i-698instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-698instr.pdf,USCIS,I-698,instructions
i-129h2a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129h2a.pdf,USCIS,I-129,form
i-193.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-193.pdf,USCIS,I-193,form
i-941.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-941.pdf,USCIS,I-941,form
i-129f.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129f.pdf,USCIS,I-129,form
i-918instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-918instr.pdf,USCIS,I-918,instructions
i-956hinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956hinstr.pdf,USCIS,I-956,instructions
i-765v.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-765v.pdf,USCIS,I-765,form
i-140g.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-140g.pdf,USCIS,I-140,form
i-566.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-566.pdf,USCIS,I-566,form
i-9-spanish.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-9-spanish.pdf,USCIS,I-9,translated_form
i9-INS-Spanish.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i9-INS-Spanish.pdf,USCIS,,translated_form
m-735.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/m-735.pdf,USCIS,M-735,form
g-884instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-884instr.pdf,USCIS,G-884,instructions
i-800ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800ainstr.pdf,USCIS,I-800,instructions
I-589%20Instructions_PT.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_PT.pdf,USCIS,I-589,instructions
g-1041ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1041ainstr.pdf,USCIS,G-1041,instructions
m-746.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/m-746.pdf,USCIS,M-746,form
i-191instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-191instr.pdf,USCIS,I-191,instructions
g-1450.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1450.pdf,USCIS,G-1450,form
i-907instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-907instr.pdf,USCIS,I-907,instructions
i-687.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-687.pdf,USCIS,I-687,form
i-865.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-865.pdf,USCIS,I-865,form
i-485.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-485.pdf,USCIS,I-485,form
i-821d.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-821d.pdf,USCIS,I-821,form
i-363.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-363.pdf,USCIS,I-363,form
i-914instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-914instr.pdf,USCIS,I-914,instructions
g-28instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-28instr.pdf,USCIS,G-28,instructions
i-821instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-821instr.pdf,USCIS,I-821,instructions
I-864a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-864a.pdf,USCIS,I-864,form
i-600.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-600.pdf,USCIS,I-600,form
i-945instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-945instr.pdf,USCIS,I-945,instructions
i-407.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-407.pdf,USCIS,I-407,form
i-601achecklist_viet.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601achecklist_viet.pdf,USCIS,I-601,checklist
I-589%20Instructions_PSH.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instructions_PSH.pdf,USCIS,I-589,instructions
i-956.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956.pdf,USCIS,I-956,form
i-601achecklist_english.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601achecklist_english.pdf,USCIS,I-601,checklist
i-821dinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-821dinstr.pdf,USCIS,I-821,instructions
i-526e.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-526e.pdf,USCIS,I-526,form
i-131a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-131a.pdf,USCIS,I-131,form
i-356.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-356.pdf,USCIS,I-356,form
i-905instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-905instr.pdf,USCIS,I-905,instructions
g-1041a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1041a.pdf,USCIS,G-1041,form
i-600instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-600instr.pdf,USCIS,I-600,instructions
i-485supainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-485supainstr.pdf,USCIS,I-485,instructions
I-589%20Form%20with%20Watermark_DAR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_DAR.pdf,USCIS,I-589,form
i-800sup1.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800sup1.pdf,USCIS,I-800,supplement
i-102.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-102.pdf,USCIS,I-102,form
I-589%20Form%20with%20Watermark_RU.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_RU.pdf,USCIS,I-589,form
i-730instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-730instr.pdf,USCIS,I-730,instructions
I-589%20Form%20with%20Watermark_AR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_AR.pdf,USCIS,I-589,form
i-800asup3.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800asup3.pdf,USCIS,I-800,supplement
i-864ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-864ainstr.pdf,USCIS,I-864,instructions
i-854instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-854instr.pdf,USCIS,I-854,instructions
g-28i.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-28i.pdf,USCIS,G-28,form
i-690.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-690.pdf,USCIS,I-690,form
i-90.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-90.pdf,USCIS,I-90,form
i-817.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-817.pdf,USCIS,I-817,form
I-589%20Instruction_AR.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Instruction_AR.pdf,USCIS,I-589,instructions
i-131ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-131ainstr.pdf,USCIS,I-131,instructions
n-600kinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-600kinstr.pdf,USCIS,N-600,instructions
i-601a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601a.pdf,USCIS,I-601,form
i-192instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-192instr.pdf,USCIS,I-192,instructions
i-914supa.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-914supa.pdf,USCIS,I-914,supplement
i-945.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-945.pdf,USCIS,I-945,form
i-485supa.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-485supa.pdf,USCIS,I-485,supplement
i-800a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-800a.pdf,USCIS,I-800,form
g-325r.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-325r.pdf,USCIS,G-325,form
m-1097.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/m-1097.pdf,USCIS,M-1097,form
i-290b.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-290b.pdf,USCIS,I-290,form
n-600instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-600instr.pdf,USCIS,N-600,instructions
i-485instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-485instr.pdf,USCIS,I-485,instructions
i-290binstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-290binstr.pdf,USCIS,I-290,instructions
i-601achecklist_spanish.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601achecklist_spanish.pdf,USCIS,I-601,checklist
i-956ginstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956ginstr.pdf,USCIS,I-956,instructions
g-1650.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1650.pdf,USCIS,G-1650,form
i-912.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-912.pdf,USCIS,I-912,form
i-956k.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956k.pdf,USCIS,I-956,form
g-325ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-325ainstr.pdf,USCIS,G-325,instructions
i-864ezinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-864ezinstr.pdf,USCIS,I-864,instructions
i-140instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-140instr.pdf,USCIS,I-140,instructions
i-601achecklist_simchinese.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601achecklist_simchinese.pdf,USCIS,I-601,checklist
n-400instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-400instr.pdf,USCIS,N-400,instructions
i-905.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-905.pdf,USCIS,I-905,form
g-1145.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1145.pdf,USCIS,G-1145,form
I-589%20Form%20with%20Watermark_CH.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_CH.pdf,USCIS,I-589,form
i-914supbinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-914supbinstr.pdf,USCIS,I-914,instructions
I-589%20Form%20with%20Watermark_PT.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_PT.pdf,USCIS,I-589,form
i-854a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-854a.pdf,USCIS,I-854,form
g-1566.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-1566.pdf,USCIS,G-1566,form
I-589%20Form%20with%20Watermark_PSH.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/I-589%20Form%20with%20Watermark_PSH.pdf,USCIS,I-589,form
i-912instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-912instr.pdf,USCIS,I-912,instructions
i-864ez.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-864ez.pdf,USCIS,I-864,form
i-526einstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-526einstr.pdf,USCIS,I-526,instructions
i-601ainstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-601ainstr.pdf,USCIS,I-601,instructions
i-566instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-566instr.pdf,USCIS,I-566,instructions
i-539.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-539.pdf,USCIS,I-539,form
i-130a.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-130a.pdf,USCIS,I-130,form
n-648.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/n-648.pdf,USCIS,N-648,form
i-864.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-864.pdf,USCIS,I-864,form
i-129sinstr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-129sinstr.pdf,USCIS,I-129,instructions
i-910instr.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-910instr.pdf,USCIS,I-910,instructions
g-884.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/g-884.pdf,USCIS,G-884,form
i-956h.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-956h.pdf,USCIS,I-956,form
i-918supa.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-918supa.pdf,USCIS,I-918,supplement
i-918supb.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-918supb.pdf,USCIS,I-918,supplement
i-191.pdf,/content/drive/MyDrive/newstart_ai/data/raw/uscis/i-191.pdf,USCIS,I-191,form
